SampleID	Desulfatiglans	AqS1	Sva0081_sediment_group	Nitrosopumilaceae	EPR3968-O8a-Bc78	BD2-11_terrestrial_group	NB1-j	Spirochaeta	SAR324_clade_Marine_group_B_	Calditrichaceae	SEEP-SRB1	Lokiarchaeia	bacteriap25	Bathyarchaeia	SBR1031	Desulfobacca	MBNT15	Woeseia	Marine_Benthic_Group_D_and_DHVEG-1	BD7-8	Candidatus_Thiobios	Bauldia	GIF3	Bacteroidetes_BD2-2	Candidatus_Tenderia	SG8-4	Latescibacteraceae	Subgroup_22	Zixibacteria	SAR202_clade	Dehalococcoidia	Pelagibius	Desulfatitalea	Pseudolabrys	Ignavibacterium	Amphiplicatus	t0.6.f	661239	Thiohalobacter	Kineosporia	Vicinamibacteraceae	Sva0485	vadinBA26	Subgroup_23	PHOS-HE36	B2M28	Calorithrix	Entotheonellaceae	Urania-1B-19_marine_sediment_group	MND1	Marine_Group_III	Desulfosarcina	BD7-11	JTB23	SB-5	CI75cm.2.12	Latescibacterota	67-14	CCM11a	Sediminispirochaeta	Oricola	BD1-7_clade	KI89A_clade	Brevundimonas	RCP2-54	Aminicenantales	Luteitalea	Rhodomicrobium	FW22	VHS-B3-70
zr2502_14_R1	71	33	28	0	264	172	255	25	76	39	32	34	31	28	22	0	354	0	153	0	24	0	63	0	0	87	11	0	32	46	0	0	0	0	0	0	0	3	0	163	0	0	0	0	0	0	73	0	0	0	0	15	29	0	0	0	0	43	44	0	19	0	46	0	0	0	0	0	0	15
zr2502_1_R1	35	205	117	0	295	202	208	0	0	92	0	0	0	18	19	0	13	48	15	77	42	0	47	25	23	0	0	0	38	22	0	0	16	32	0	0	0	24	0	0	0	19	0	35	11	29	0	0	9	0	0	24	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0
zr2502_33_R1	1712	443	53	996	121	150	32	0	7	111	50	0	56	33	15	26	0	0	29	31	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	63	0	14	24	19	32	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
zr2502_34_R1	174	4973	75	0	141	47	102	1502	154	0	341	0	208	271	313	63	0	14	62	0	0	0	47	61	28	39	43	18	77	10	0	0	62	0	73	198	14	16	0	0	97	11	0	3	0	52	0	0	0	0	0	38	0	7	0	0	46	11	0	0	0	15	0	0	11	25	0	0	19	0
zr2502_35_R1	1655	557	15	1860	109	40	68	13	22	39	42	0	48	23	24	3	0	0	15	9	0	0	0	4	0	0	86	0	0	0	0	0	0	53	0	30	0	0	0	0	0	11	0	0	11	0	0	32	13	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	7	0	4	0	0
zr2502_36_R1	107	3266	4	11	35	39	19	11	99	0	214	0	28	193	10	0	0	0	0	0	0	0	0	53	0	0	14	0	3	124	0	0	32	0	47	125	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
zr2502_37_R1	1505	286	373	1479	74	155	75	0	0	58	11	16	0	16	0	0	343	0	33	0	9	51	0	0	0	0	224	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	26	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
zr2502_38_R1	367	150	2081	928	305	590	201	9	19	135	12	152	83	44	48	0	217	7	80	59	23	0	0	29	0	0	133	38	18	0	0	29	3	93	0	0	0	14	63	23	81	0	0	0	18	0	0	43	0	32	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	4	0	0
zr2502_39_R1	1581	78	325	1610	212	187	30	19	85	9	0	35	21	0	0	0	41	0	32	0	0	0	0	24	0	0	14	68	0	128	18	0	0	0	26	0	0	0	0	0	77	0	18	0	0	0	0	0	25	0	0	0	0	0	0	0	7	0	0	0	0	45	0	13	0	17	11	0	8	0
zr2502_3_R1	115	417	30	0	290	108	249	47	46	24	63	0	34	86	0	35	37	0	40	0	0	91	61	15	0	0	0	0	21	6	0	37	0	69	8	6	0	0	34	113	53	25	7	0	19	51	19	27	0	0	0	92	0	0	15	0	18	0	0	39	0	0	0	0	0	22	0	0	0	14
