sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S1B3040,S1A1530,0.0726596899202532,0.7871327072758866,9.972148417885888,1,Heterogeneous.Selection,All interiors (pooled)
S1B6575,S1A1530,0.048492118349522904,0.7645672520646919,5.509234076868657,1,Heterogeneous.Selection,All interiors (pooled)
S2A1727,S1A1530,0.04548001511894774,0.7175324286867379,7.496840886503056,1,Heterogeneous.Selection,All interiors (pooled)
S2A3545,S1A1530,0.027639888887563326,0.6822171408381326,3.7623882470098953,1,Heterogeneous.Selection,All interiors (pooled)
S2A5060,S1A1530,0.03551502880482975,0.7248926037199906,4.484816386153022,1,Heterogeneous.Selection,All interiors (pooled)
S2A515,S1A1530,0.03485509375480213,0.6551532953496425,6.100360799999313,1,Heterogeneous.Selection,All interiors (pooled)
S2B07,S1A1530,0.014751690614538817,0.48714011164436705,3.8457853847563257,0.40740740740740744,Heterogeneous.Selection,All interiors (pooled)
S2B1522,S1A1530,0.037187830224598706,0.6847002271824322,7.306388777807125,1,Heterogeneous.Selection,All interiors (pooled)
S2B3040,S1A1530,0.040677970492504635,0.7453104732815782,8.47026009180262,1,Heterogeneous.Selection,All interiors (pooled)
S2B5565,S1A1530,0.06661702117390465,0.728638848283126,14.032951739016625,1,Heterogeneous.Selection,All interiors (pooled)
S3A07,S1A1530,0.021344387659727976,0.6638714734076386,3.2801772099023516,0.997997997997998,Heterogeneous.Selection,All interiors (pooled)
S3A1522,S1A1530,0.06604586412771772,0.7887238762011244,7.02647716998171,1,Heterogeneous.Selection,All interiors (pooled)
S3A3040,S1A1530,0.050792377859346025,0.7410338068580814,6.255297537351919,1,Heterogeneous.Selection,All interiors (pooled)
S3A6070,S1A1530,0.13548744243641297,0.8202516427055124,13.14601826132806,0.9539539539539539,Heterogeneous.Selection,All interiors (pooled)
S3B2030,S1A1530,0.06958161970137253,0.7547064918438757,12.23300766653148,1,Heterogeneous.Selection,All interiors (pooled)
S3B3545,S1A1530,0.061583090667355234,0.761490128136309,9.708800588046795,1,Heterogeneous.Selection,All interiors (pooled)
S3B515,S1A1530,0.04818361542889829,0.7358290609863866,6.203080917807295,1,Heterogeneous.Selection,All interiors (pooled)
S3B6070,S1A1530,0.04419325339195541,0.7810912273097055,5.649371145356958,1,Heterogeneous.Selection,All interiors (pooled)
S4B07,S1A1530,0.008325411131819482,0.4732785770050535,0.9694642653985115,0.8638638638638638,Undominated,All interiors (pooled)
S4B1522,S1A1530,0.00890246431980686,0.4360481708112481,1.4875167502556605,0.6476476476476476,Undominated,All interiors (pooled)
S4B3040,S1A1530,0.014917945641376558,0.5399204677942518,4.30399062107171,1,Heterogeneous.Selection,All interiors (pooled)
S4B5565,S1A1530,0.01798256651617129,0.5593375496880724,4.305533844629672,1,Heterogeneous.Selection,All interiors (pooled)
S5A07,S1A1530,0.017698222227538942,0.6645839180642734,2.9760172648728695,0.9859859859859861,Heterogeneous.Selection,All interiors (pooled)
S5A1522,S1A1530,0.009962324803781945,0.5467697143030523,1.4765494103981596,0.8198198198198199,Undominated,All interiors (pooled)
S5A3040,S1A1530,0.0037002225498837978,0.4380336715404235,-1.30342733015155,0.7657657657657657,Undominated,All interiors (pooled)
S5A5565,S1A1530,0.024847329722963968,0.6103456819572648,3.7839879234189326,0.9939939939939939,Heterogeneous.Selection,All interiors (pooled)
S5B07,S1A1530,0.00795768147712543,0.5273507638980346,-0.6932349119375834,0.9859859859859861,Dispersal.Limitation,All interiors (pooled)
S5B1522,S1A1530,0.00788086040248153,0.4853821997480702,0.2727262177179745,0.991991991991992,Dispersal.Limitation,All interiors (pooled)
S5B3040,S1A1530,0.015385334269111192,0.5787764220219791,3.031500228408706,1,Heterogeneous.Selection,All interiors (pooled)
S5B5060,S1A1530,0.033616112646039864,0.7349627418641177,4.434309178734475,1,Heterogeneous.Selection,All interiors (pooled)
