SampleID	Collection_date	depth	ID	Environmental_medium	Geographic.Location	Study_zone	Ecological_type	season	Mangrove_system	Mangrove_type	Depths	sample_id_original	sample_id_clean	network_group	network_dataset	network_label	network_system	network_zone	depth_class_raw	depth_class	depth_raw
S7A07	2023-09-30	0-15	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface	S7A07	S7A07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15
S7A1522	2023-09-30	16-30	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid	S7A1522	S7A1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Mid	Mid	16-30
S7A3040	2023-09-30	31-45	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S7A3040	S7A3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45
S7A5060	2023-09-30	50-70	S7A	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S7A5060	S7A5060	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	50-70
S7B07	2023-09-30	0-15	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Surface	S7B07	S7B07	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Surface	Surface	0-15
S7B1522	2023-09-30	16-30	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Mid	S7B1522	S7B1522	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Mid	Mid	16-30
S7B3040	2023-09-30	31-45	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S7B3040	S7B3040	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	31-45
S7B5060	2023-09-30	50-70	S7B	sediment	Mexico:Tabasco	Laguna Cacahuate	Fringe	flood	Fossil Lagoon	Interior	Deep	S7B5060	S7B5060	Interior_relict	interior_impaired	Interior relicto vs Términos impaired	Fossil Lagoon	Laguna Cacahuate	Deep	Deep	50-70
zr2502_24_R1.fastq.gz	17/01/2018	5	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface	zr2502_24_R1.fastq.gz	zr2502_24_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Surface	Surface	5
zr2502_25_R1.fastq.gz	17/01/2018	20	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid	zr2502_25_R1.fastq.gz	zr2502_25_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Mid	Mid	20
zr2502_26_R1.fastq.gz	17/01/2018	40	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep	zr2502_26_R1.fastq.gz	zr2502_26_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Deep	Deep	40
zr2502_27_R1.fastq.gz	17/01/2018	5	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface	zr2502_27_R1.fastq.gz	zr2502_27_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Surface	Surface	5
zr2502_28_R1.fastq.gz	17/01/2018	20	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid	zr2502_28_R1.fastq.gz	zr2502_28_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Mid	Mid	20
zr2502_29_R1.fastq.gz	17/01/2018	40	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep	zr2502_29_R1.fastq.gz	zr2502_29_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Deep	Deep	40
zr2502_30_R1.fastq.gz	17/01/2018	5	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Surface	zr2502_30_R1.fastq.gz	zr2502_30_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Surface	Surface	5
zr2502_31_R1.fastq.gz	17/01/2018	20	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Mid	zr2502_31_R1.fastq.gz	zr2502_31_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Mid	Mid	20
zr2502_32_R1.fastq.gz	17/01/2018	40	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood	Impaired Términos Lagoon	Coastal	Deep	zr2502_32_R1.fastq.gz	zr2502_32_R1	Coastal_impaired	interior_impaired	Interior relicto vs Términos impaired	Impaired Términos Lagoon	Estero_pargo	Deep	Deep	40
