"ASV","Location","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"HE653878.1.1455","San Pedro River","d__Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup_10",NA
"HQ588383.1.1408","San Pedro River","d__Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22",NA
"KM356611.1.1422","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"JX241032.1.1528","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans","uncultured_delta"
"JN515170.1.1464","San Pedro River","d__Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","uncultured_bacterium"
"KC009870.1.1414","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae",NA,NA
"GU061446.1.1474","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured","uncultured_marine"
"LN563592.1.1392","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"AF317764.1.1458","San Pedro River","d__Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira","unidentified_bacterium"
"EU488431.1.1525","San Pedro River","d__Bacteria","Desulfobacterota","Desulfuromonadia","Desulfuromonadia","Syntrophotaleaceae","Syntrophotalea","uncultured_bacterium"
"JX227458.1.1486","San Pedro River","d__Bacteria","Sumerlaeota","Sumerlaeia","uncultured","uncultured","uncultured","uncultured_bacterium"
"AM176870.1.1483","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales",NA,NA,NA
"FJ654478.1.1204","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"HQ114039.1.1520","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","unidentified_bacterium"
"KC631482.1.1524","San Pedro River","d__Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured",NA
"EU488318.1.1523","San Pedro River","d__Bacteria","Desulfobacterota","uncultured","uncultured","uncultured","uncultured",NA
"FJ485062.1.1378","San Pedro River","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"JF344658.1.1521","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","SEEP-SRB1","uncultured_delta"
"KR086470.1.1470","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Bauldia",NA
"JF344499.1.1514","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j",NA
"KR559960.1.1479","San Pedro River","d__Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Vicinamibacteraceae",NA
"FJ425648.1.1498","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfobacterales","Desulfosarcinaceae","Sva0081_sediment_group",NA
"GQ410931.1.930","San Pedro River","d__Archaea","Asgardarchaeota","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","Lokiarchaeia","uncultured_archaeon"
"LN570515.1.1381","San Pedro River","d__Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","uncultured","uncultured_bacterium"
"GQ264384.1.1411","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"JQ580416.1.1527","San Pedro River","d__Bacteria","Sva0485","Sva0485","Sva0485","Sva0485","Sva0485",NA
"AB806727.1.1479","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_deep-sea"
"JX227446.1.1521","San Pedro River","d__Bacteria","Acidobacteriota","Subgroup_22","Subgroup_22","Subgroup_22","Subgroup_22","uncultured_bacterium"
"JN447304.1.1413","San Pedro River","d__Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2","uncultured_organism"
"GU056117.1.1493","San Pedro River","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4",NA
"AB015559.1.1530","San Pedro River","d__Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"AF323768.1.1486","San Pedro River","d__Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","uncultured_bacterium"
"KT122148.1.1526","San Pedro River","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","uncultured_Gemmatimonadetes"
"FJ748808.1.1519","San Pedro River","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4","uncultured_bacterium"
"GU291343.1.1498","San Pedro River","d__Bacteria","Desulfobacterota","Desulfobacteria","Desulfatiglandales","Desulfatiglandaceae","Desulfatiglans",NA
"KF964606.1.1493","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"AM997774.1.1464","San Pedro River","d__Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade","SAR202_clade","SAR202_clade","uncultured_Thermomicrobium"
"JQ815991.1.1399","San Pedro River","d__Archaea","Thermoplasmatota","Thermoplasmata","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","Marine_Benthic_Group_D_and_DHVEG-1","uncultured_euryarchaeote"
"MG264189.1.1343","San Pedro River","d__Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius","uncultured_Alphaproteobacteria"
"DQ431899.1.1417","San Pedro River","d__Bacteria","Gemmatimonadota","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group","BD2-11_terrestrial_group",NA
"DQ363793.1.954","San Pedro River","d__Archaea","Crenarchaeota","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","Bathyarchaeia","uncultured_miscellaneous"
"FJ901616.1.1385","San Pedro River","d__Bacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","Zixibacteria","candidate_division"
"KF786834.1.1416","San Pedro River","d__Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","uncultured_marine"
