n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	19	67	0.575	0.568544102019129	5.28206627113429	4.22257818459191	0.714177040983813	0.809045226130653	0.0360826974773152	0.211375	0.094875	depth_natural	Coastal_natural	105	13	13	0.02	0.1
200	398	0.02	3.98	22	79	0.59	0.484200743494424	5.44453432294395	4.08547008547009	0.63894535491528	0.738693467336683	0.0364544540999209	0.24275	0.0905	depth_natural	Coastal_natural	106	13	13	0.02	0.1
200	398	0.02	3.98	19	76	0.535	0.734375	7.03386700323821	4.54769881855052	0.799844069594203	0.904522613065327	0.0420198138725722	0.155625	0.094625	depth_natural	Coastal_natural	107	13	13	0.02	0.1
200	398	0.02	3.98	17	55	0.655	0.436383928571429	4.19136039395964	3.72319436288902	0.69210689124012	0.773869346733668	0.0430149505512157	0.252625	0.091625	depth_natural	Coastal_natural	108	13	13	0.02	0.1
200	398	0.02	3.98	24	89	0.46	0.601015801354402	6.83913514545634	3.77783086478739	0.71339107598293	0.824120603015075	0.036737013863604	0.20075	0.04575	depth_natural	Coastal_natural	109	13	13	0.02	0.1
200	398	0.02	3.98	27	146	0.17	0.906305506216696	14.2272512747944	1.83244206773619	0.521258932855231	0.690954773869347	0.0239206773128572	0.08425	0.021	depth_natural	Coastal_natural	110	13	13	0.02	0.1
200	398	0.02	3.98	26	115	0.365	0.799829096346934	11.8606304477728	3.20243531202435	0.656211333047145	0.914572864321608	0.0351484036333676	0.173875	0.053875	depth_natural	Coastal_natural	111	13	13	0.02	0.1
200	398	0.02	3.98	15	42	0.735	0.381841323716589	3.90876501653262	4.14164569937564	0.669847352339587	0.78643216080402	0.0410465633913305	0.291125	0.114875	depth_natural	Coastal_natural	112	13	13	0.02	0.1
200	398	0.02	3.98	22	82	0.54	0.665472581978506	7.8443568648711	4.33108341986847	0.697242493876417	0.869346733668342	0.0380631746148952	0.1965	0.07	depth_natural	Coastal_natural	113	13	13	0.02	0.1
200	398	0.02	3.98	27	48	0.65	0.498229043683589	4.20485487486551	3.895885509839	0.737383525668544	0.793969849246231	0.0387858840191893	0.22225	0.0915	depth_natural	Coastal_natural	114	13	13	0.02	0.1
200	398	0.02	3.98	16	44	0.69	0.493150684931507	4.60642551026533	4.56511160478155	0.748096638973764	0.874371859296482	0.0412073703978368	0.274	0.10425	depth_natural	Coastal_natural	115	13	13	0.02	0.1
200	398	0.02	3.98	18	70	0.55	0.595168374816984	4.65494564349701	4.52443703085905	0.784699250018939	0.846733668341708	0.0403528246007953	0.18975	0.05975	depth_natural	Coastal_natural	116	13	13	0.02	0.1
200	398	0.02	3.98	21	80	0.59	0.533313414998506	5.81821926761486	3.89424887729972	0.678979066185197	0.836683417085427	0.0365565105705859	0.2575	0.0875	depth_natural	Coastal_natural	117	13	13	0.02	0.1
200	398	0.02	3.98	13	62	0.485	0.745977011494253	5.4200305479524	5.45382302405498	0.846159187899296	0.909547738693467	0.0349804743296332	0.199375	0.054125	depth_natural	Coastal_natural	118	13	13	0.02	0.1
200	398	0.02	3.98	17	70	0.49	0.602972399150743	5.15937905609522	3.63475699558174	0.760182823666069	0.866834170854271	0.0400106188478034	0.1655	0.063	depth_natural	Coastal_natural	119	13	13	0.02	0.1
200	398	0.02	3.98	25	70	0.595	0.433668801463861	5.06905852838938	3.57669847600057	0.646372566349334	0.748743718592965	0.0408160612442439	0.236375	0.078125	depth_natural	Coastal_natural	120	13	13	0.02	0.1
200	398	0.02	3.98	26	90	0.46	0.736683719530545	6.66003038686489	4.51027233635929	0.786732026969016	0.964824120603015	0.037615882440173	0.12875	0.05525	depth_natural	Coastal_natural	121	13	13	0.02	0.1
200	398	0.02	3.98	15	74	0.45	0.705158865732832	5.90810751793823	4.69263420724095	0.812331128001818	0.866834170854271	0.0365940117985452	0.14625	0.068	depth_natural	Coastal_natural	122	13	13	0.02	0.1
200	398	0.02	3.98	18	63	0.615	0.574	5.91277941743798	4.27429028388645	0.730603393853691	0.809045226130653	0.040254676107766	0.225125	0.079375	depth_natural	Coastal_natural	123	13	13	0.02	0.1
200	398	0.02	3.98	21	110	0.31	0.67739678096571	8.80141977382945	2.79640401903755	0.652518244488776	0.741206030150754	0.0288203424596143	0.14225	0.03325	depth_natural	Coastal_natural	124	13	13	0.02	0.1
