dataset	network_group	from	to	selection_frequency	mean_weight	median_weight	mean_abs_weight	prop_positive	stable_edge
depth_natural	Coastal_natural	FJ712534.1.1514	GQ337314.1.1475	0.345	-0.0381277455564297	-0.0377297217705862	0.0381277455564297	0	FALSE
depth_natural	Coastal_natural	DQ641854.1.916	LN563386.1.1350	0.345	0.0373202822717429	0.0363839473975886	0.0373202822717429	1	FALSE
depth_natural	Coastal_natural	FJ477316.1.1346	JF344478.1.1502	0.34	0.0444725911496343	0.0420112038019786	0.0444725911496343	1	FALSE
depth_natural	Coastal_natural	FJ655689.1.1403	LN563386.1.1350	0.34	0.0439398773488788	0.042974642115987	0.0439398773488788	1	FALSE
depth_natural	Coastal_natural	EU491875.1.1464	FJ517042.1.1485	0.34	0.0424453781296374	0.0397684375570145	0.0424453781296374	1	FALSE
depth_natural	Coastal_natural	HQ316943.1.1422	JX504490.1.1557	0.34	-0.0402120133530677	-0.0395622056733742	0.0402120133530677	0	FALSE
depth_natural	Coastal_natural	EU134890.1.1383	JQ816305.1.1426	0.34	0.0400390169208071	0.0394264074491667	0.0400390169208071	1	FALSE
depth_natural	Coastal_natural	FR682646.1.1628	HQ014650.1.1499	0.34	0.0362352836541642	0.035805414211799	0.0362352836541642	1	FALSE
depth_natural	Coastal_natural	FJ655689.1.1403	KM203484.1.1200	0.335	0.0439016142917851	0.0424726919557245	0.0439016142917851	1	FALSE
depth_natural	Coastal_natural	JN003082.1.1327	LC121892.1.914	0.335	0.040236125634283	0.0375346136766343	0.040236125634283	1	FALSE
depth_natural	Coastal_natural	AB806729.1.1479	EU488352.1.1526	0.335	0.0396386276414712	0.0368750364313157	0.0396386276414712	1	FALSE
depth_natural	Coastal_natural	EU048674.1.1479	JX870317.1.915	0.335	0.037962277549736	0.0371389417627395	0.037962277549736	1	FALSE
depth_natural	Coastal_natural	AM039960.1.1519	KX172242.1.1463	0.335	0.0379565015314701	0.0370936226456587	0.0379565015314701	1	FALSE
depth_natural	Coastal_natural	FJ712534.1.1514	HQ014650.1.1499	0.335	-0.0375202986722794	-0.037257858984393	0.0375202986722794	0	FALSE
depth_natural	Coastal_natural	DQ641854.1.916	KM203484.1.1200	0.335	0.0373370413722937	0.0364152701833802	0.0373370413722937	1	FALSE
depth_natural	Coastal_natural	DQ811935.1.1507	KX173276.1.1482	0.33	0.0395079784766261	0.0379935713490621	0.0395079784766261	1	FALSE
depth_natural	Coastal_natural	DQ811807.1.1529	HQ014650.1.1499	0.33	0.0391920577216307	0.0371433115234905	0.0391920577216307	1	FALSE
depth_natural	Coastal_natural	EU617821.1.1525	GU180188.1.1514	0.33	0.0368501763607956	0.0364329069358896	0.0368501763607956	1	FALSE
depth_natural	Coastal_natural	GQ356834.1.936	JQ716269.1.1517	0.33	0.0365758163474208	0.0359944680934654	0.0365758163474208	1	FALSE
depth_natural	Coastal_natural	GQ356834.1.936	KR824977.1.1462	0.33	0.0364140394573566	0.0362063012039058	0.0364140394573566	1	FALSE
depth_natural	Coastal_natural	AY605137.1.1495	JF344665.1.1520	0.325	0.0418831037605504	0.0399821234489797	0.0418831037605504	1	FALSE
depth_natural	Coastal_natural	JF344561.1.1519	MGML01000116.8420.9921	0.325	0.0399583563251695	0.0402503344946881	0.0399583563251695	1	FALSE
depth_natural	Coastal_natural	FJ203391.1.1488	KX172552.1.1464	0.325	0.0389725647209349	0.038652373577668	0.0389725647209349	1	FALSE
depth_natural	Coastal_natural	JX280051.1.1507	KC470953.1.1371	0.325	-0.0374635943901408	-0.0375951079895754	0.0374635943901408	0	FALSE
depth_natural	Coastal_natural	JQ580158.1.1515	KP762238.1.1208	0.325	0.0371800268489855	0.0366310990640408	0.0371800268489855	1	FALSE
depth_natural	Coastal_natural	JN977174.1.1546	JX504490.1.1557	0.325	0.0367982876697686	0.0360342421286484	0.0367982876697686	1	FALSE
depth_natural	Coastal_natural	FJ545485.1.1494	HM798748.1.1422	0.325	0.0362261252391199	0.0357775706487847	0.0362261252391199	1	FALSE
