removal_fraction	largest_component_fraction_original_nodes	dataset	network_group	bootstrap_id	attack_mode
1	0	depth_natural	Coastal_natural	9	random
0	0.41	depth_natural	Coastal_natural	9	targeted
0.05	0.355	depth_natural	Coastal_natural	9	targeted
0.1	0.28	depth_natural	Coastal_natural	9	targeted
0.15	0.215	depth_natural	Coastal_natural	9	targeted
0.2	0.115	depth_natural	Coastal_natural	9	targeted
0.25	0.065	depth_natural	Coastal_natural	9	targeted
0.3	0.045	depth_natural	Coastal_natural	9	targeted
0.35	0.025	depth_natural	Coastal_natural	9	targeted
0.4	0.015	depth_natural	Coastal_natural	9	targeted
0.45	0.015	depth_natural	Coastal_natural	9	targeted
0.5	0.015	depth_natural	Coastal_natural	9	targeted
0.55	0.01	depth_natural	Coastal_natural	9	targeted
0.6	0.005	depth_natural	Coastal_natural	9	targeted
0.65	0.005	depth_natural	Coastal_natural	9	targeted
0.7	0.005	depth_natural	Coastal_natural	9	targeted
0.75	0.005	depth_natural	Coastal_natural	9	targeted
0.8	0.005	depth_natural	Coastal_natural	9	targeted
0.85	0.005	depth_natural	Coastal_natural	9	targeted
0.9	0.005	depth_natural	Coastal_natural	9	targeted
0.95	0.005	depth_natural	Coastal_natural	9	targeted
1	0	depth_natural	Coastal_natural	9	targeted
0	0.6	depth_natural	Coastal_natural	10	random
0.05	0.57	depth_natural	Coastal_natural	10	random
0.1	0.54	depth_natural	Coastal_natural	10	random
0.15	0.5	depth_natural	Coastal_natural	10	random
0.2	0.455	depth_natural	Coastal_natural	10	random
0.25	0.425	depth_natural	Coastal_natural	10	random
0.3	0.345	depth_natural	Coastal_natural	10	random
0.35	0.32	depth_natural	Coastal_natural	10	random
0.4	0.295	depth_natural	Coastal_natural	10	random
0.45	0.215	depth_natural	Coastal_natural	10	random
0.5	0.2	depth_natural	Coastal_natural	10	random
0.55	0.145	depth_natural	Coastal_natural	10	random
0.6	0.11	depth_natural	Coastal_natural	10	random
0.65	0.075	depth_natural	Coastal_natural	10	random
0.7	0.05	depth_natural	Coastal_natural	10	random
0.75	0.045	depth_natural	Coastal_natural	10	random
0.8	0.025	depth_natural	Coastal_natural	10	random
0.85	0.025	depth_natural	Coastal_natural	10	random
0.9	0.01	depth_natural	Coastal_natural	10	random
0.95	0.005	depth_natural	Coastal_natural	10	random
1	0	depth_natural	Coastal_natural	10	random
0	0.6	depth_natural	Coastal_natural	10	targeted
0.05	0.395	depth_natural	Coastal_natural	10	targeted
0.1	0.235	depth_natural	Coastal_natural	10	targeted
0.15	0.15	depth_natural	Coastal_natural	10	targeted
0.2	0.11	depth_natural	Coastal_natural	10	targeted
0.25	0.05	depth_natural	Coastal_natural	10	targeted
0.3	0.05	depth_natural	Coastal_natural	10	targeted
0.35	0.035	depth_natural	Coastal_natural	10	targeted
0.4	0.025	depth_natural	Coastal_natural	10	targeted
0.45	0.02	depth_natural	Coastal_natural	10	targeted
0.5	0.01	depth_natural	Coastal_natural	10	targeted
0.55	0.01	depth_natural	Coastal_natural	10	targeted
0.6	0.01	depth_natural	Coastal_natural	10	targeted
0.65	0.01	depth_natural	Coastal_natural	10	targeted
0.7	0.005	depth_natural	Coastal_natural	10	targeted
0.75	0.005	depth_natural	Coastal_natural	10	targeted
0.8	0.005	depth_natural	Coastal_natural	10	targeted
0.85	0.005	depth_natural	Coastal_natural	10	targeted
0.9	0.005	depth_natural	Coastal_natural	10	targeted
0.95	0.005	depth_natural	Coastal_natural	10	targeted
1	0	depth_natural	Coastal_natural	10	targeted
0	0.58	depth_natural	Coastal_natural	11	random
0.05	0.535	depth_natural	Coastal_natural	11	random
0.1	0.5	depth_natural	Coastal_natural	11	random
0.15	0.475	depth_natural	Coastal_natural	11	random
0.2	0.435	depth_natural	Coastal_natural	11	random
0.25	0.39	depth_natural	Coastal_natural	11	random
0.3	0.355	depth_natural	Coastal_natural	11	random
0.35	0.31	depth_natural	Coastal_natural	11	random
0.4	0.25	depth_natural	Coastal_natural	11	random
0.45	0.23	depth_natural	Coastal_natural	11	random
0.5	0.215	depth_natural	Coastal_natural	11	random
0.55	0.15	depth_natural	Coastal_natural	11	random
0.6	0.135	depth_natural	Coastal_natural	11	random
0.65	0.105	depth_natural	Coastal_natural	11	random
0.7	0.095	depth_natural	Coastal_natural	11	random
0.75	0.085	depth_natural	Coastal_natural	11	random
0.8	0.07	depth_natural	Coastal_natural	11	random
0.85	0.02	depth_natural	Coastal_natural	11	random
0.9	0.01	depth_natural	Coastal_natural	11	random
0.95	0.005	depth_natural	Coastal_natural	11	random
1	0	depth_natural	Coastal_natural	11	random
0	0.58	depth_natural	Coastal_natural	11	targeted
0.05	0.505	depth_natural	Coastal_natural	11	targeted
0.1	0.41	depth_natural	Coastal_natural	11	targeted
0.15	0.335	depth_natural	Coastal_natural	11	targeted
0.2	0.29	depth_natural	Coastal_natural	11	targeted
0.25	0.18	depth_natural	Coastal_natural	11	targeted
0.3	0.175	depth_natural	Coastal_natural	11	targeted
0.35	0.04	depth_natural	Coastal_natural	11	targeted
0.4	0.02	depth_natural	Coastal_natural	11	targeted
0.45	0.02	depth_natural	Coastal_natural	11	targeted
0.5	0.01	depth_natural	Coastal_natural	11	targeted
0.55	0.01	depth_natural	Coastal_natural	11	targeted
0.6	0.005	depth_natural	Coastal_natural	11	targeted
0.65	0.005	depth_natural	Coastal_natural	11	targeted
0.7	0.005	depth_natural	Coastal_natural	11	targeted
0.75	0.005	depth_natural	Coastal_natural	11	targeted
0.8	0.005	depth_natural	Coastal_natural	11	targeted
0.85	0.005	depth_natural	Coastal_natural	11	targeted
0.9	0.005	depth_natural	Coastal_natural	11	targeted
0.95	0.005	depth_natural	Coastal_natural	11	targeted
1	0	depth_natural	Coastal_natural	11	targeted
0	0.645	depth_natural	Coastal_natural	12	random
0.05	0.6	depth_natural	Coastal_natural	12	random
0.1	0.52	depth_natural	Coastal_natural	12	random
0.15	0.475	depth_natural	Coastal_natural	12	random
0.2	0.455	depth_natural	Coastal_natural	12	random
0.25	0.43	depth_natural	Coastal_natural	12	random
0.3	0.325	depth_natural	Coastal_natural	12	random
0.35	0.31	depth_natural	Coastal_natural	12	random
0.4	0.255	depth_natural	Coastal_natural	12	random
0.45	0.235	depth_natural	Coastal_natural	12	random
0.5	0.21	depth_natural	Coastal_natural	12	random
0.55	0.185	depth_natural	Coastal_natural	12	random
0.6	0.16	depth_natural	Coastal_natural	12	random
0.65	0.135	depth_natural	Coastal_natural	12	random
0.7	0.035	depth_natural	Coastal_natural	12	random
0.75	0.025	depth_natural	Coastal_natural	12	random
0.8	0.025	depth_natural	Coastal_natural	12	random
0.85	0.015	depth_natural	Coastal_natural	12	random
0.9	0.015	depth_natural	Coastal_natural	12	random
0.95	0.01	depth_natural	Coastal_natural	12	random
1	0	depth_natural	Coastal_natural	12	random
0	0.645	depth_natural	Coastal_natural	12	targeted
0.05	0.355	depth_natural	Coastal_natural	12	targeted
0.1	0.215	depth_natural	Coastal_natural	12	targeted
0.15	0.14	depth_natural	Coastal_natural	12	targeted
0.2	0.14	depth_natural	Coastal_natural	12	targeted
0.25	0.115	depth_natural	Coastal_natural	12	targeted
0.3	0.1	depth_natural	Coastal_natural	12	targeted
0.35	0.06	depth_natural	Coastal_natural	12	targeted
0.4	0.03	depth_natural	Coastal_natural	12	targeted
0.45	0.025	depth_natural	Coastal_natural	12	targeted
0.5	0.025	depth_natural	Coastal_natural	12	targeted
0.55	0.01	depth_natural	Coastal_natural	12	targeted
0.6	0.01	depth_natural	Coastal_natural	12	targeted
0.65	0.01	depth_natural	Coastal_natural	12	targeted
0.7	0.005	depth_natural	Coastal_natural	12	targeted
0.75	0.005	depth_natural	Coastal_natural	12	targeted
0.8	0.005	depth_natural	Coastal_natural	12	targeted
0.85	0.005	depth_natural	Coastal_natural	12	targeted
0.9	0.005	depth_natural	Coastal_natural	12	targeted
0.95	0.005	depth_natural	Coastal_natural	12	targeted
1	0	depth_natural	Coastal_natural	12	targeted
0	0.545	depth_natural	Coastal_natural	13	random
0.05	0.515	depth_natural	Coastal_natural	13	random
0.1	0.485	depth_natural	Coastal_natural	13	random
0.15	0.435	depth_natural	Coastal_natural	13	random
0.2	0.41	depth_natural	Coastal_natural	13	random
0.25	0.39	depth_natural	Coastal_natural	13	random
0.3	0.34	depth_natural	Coastal_natural	13	random
0.35	0.32	depth_natural	Coastal_natural	13	random
0.4	0.295	depth_natural	Coastal_natural	13	random
0.45	0.245	depth_natural	Coastal_natural	13	random
0.5	0.225	depth_natural	Coastal_natural	13	random
0.55	0.2	depth_natural	Coastal_natural	13	random
0.6	0.11	depth_natural	Coastal_natural	13	random
