id	SampleID	Collection_date	depth	ID	Environmental_medium	Geographic Location	Study_zone	Ecological_type	season
zr2502_13_R1.fastq.gz	zr2502_13_R1	17/01/2018	40		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_14_R1.fastq.gz	zr2502_14_R1	17/01/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_3_R1.fastq.gz	zr2502_3_R1	17/01/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_24_R1.fastq.gz	zr2502_24_R1	17/01/2018	5	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_25_R1.fastq.gz	zr2502_25_R1	17/01/2018	20	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_26_R1.fastq.gz	zr2502_26_R1	17/01/2018	40	IA	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_27_R1.fastq.gz	zr2502_27_R1	17/01/2018	5	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_28_R1.fastq.gz	zr2502_28_R1	17/01/2018	20	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_29_R1.fastq.gz	zr2502_29_R1	17/01/2018	40	IB	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_30_R1.fastq.gz	zr2502_30_R1	17/01/2018	5	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_31_R1.fastq.gz	zr2502_31_R1	17/01/2018	20	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_32_R1.fastq.gz	zr2502_32_R1	17/01/2018	40	IC	sediment	Mexico:Campeche	Estero_pargo	Impaired	flood
zr2502_6_R1.fastq.gz	zr2502_6_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	dry
zr2502_7_R1.fastq.gz	zr2502_7_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	dry
zr2502_33_R1.fastq.gz	zr2502_33_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_34_R1.fastq.gz	zr2502_34_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_35_R1.fastq.gz	zr2502_35_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_36_R1.fastq.gz	zr2502_36_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_37_R1.fastq.gz	zr2502_37_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_38_R1.fastq.gz	zr2502_38_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_39_R1.fastq.gz	zr2502_39_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Fringe	flood
zr2502_46_R1.fastq.gz	zr2502_46_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_47_R1.fastq.gz	zr2502_47_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_48_R1.fastq.gz	zr2502_48_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_49_R1.fastq.gz	zr2502_49_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_50_R1.fastq.gz	zr2502_50_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_51_R1.fastq.gz	zr2502_51_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_52_R1.fastq.gz	zr2502_52_R1	30/05/2018	5		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_53_R1.fastq.gz	zr2502_53_R1	30/05/2018	20		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
zr2502_54_R1.fastq.gz	zr2502_54_R1	30/05/2018	40		sediment	Mexico:Campeche	Estero_pargo	Impaired	dry
