Phylum	Depth	mean_abundance_Fossil	mean_abundance_Miguelito	mean_abundance_Reforma	sd_abundance_Fossil	sd_abundance_Miguelito	sd_abundance_Reforma
Verrucomicrobiota	0-15	1.34158763406344	1.3968590121921	1.30962550300766	0.492143729655325	0.509767758934062	0.38962641614589
Verrucomicrobiota	16-30	1.80401618380112	1.3081332817524	0.904806899224159	0.293640157919559	0.483256535177863	0.122218242241045
Verrucomicrobiota	31-45	1.2075614066475	0.886250377676845	1.21791723309726	0.535260625147663	0.323974165399218	0.280343186398841
Verrucomicrobiota	50-75	1.09449515164884	0.668975257531207	0.784640152811469	0.181241423996958	0.314450146660914	0.286511834592186
WS2	0-15	0.0200241361672689	0.125659711735347	0.0579058397689614	0.0220391869848447	0.100335712298367	0.044005737890705
WS2	16-30	0.0924041309615841	0.131530148433788	0.0661995984603637	0.0279935047320428	0.0695671209724976	0.03275532464698
WS2	31-45	0.0930042593687878	0.155170940254948	0.133092272362684	0.0274727528861557	0.0745336995559066	0.0466305903094915
WS2	50-75	0.116963003120851	0.144333409596246	0.138569637518824	0.00707258127217997	0.0791522369948274	0.0587834956374021
Zixibacteria	0-15	1.07417120580182	1.04570271840177	0.423613310021677	0.542331450048354	0.609102961363939	0.284436487365322
Zixibacteria	16-30	1.83526662055761	1.37612697564787	0.680565652070577	0.46782360858545	0.587711270216565	0.350778924090993
Zixibacteria	31-45	1.7720084928361	1.22381717243232	0.824523124882945	0.200773007691411	0.297044626335049	0.372547494291183
Zixibacteria	50-75	1.386853907964	1.39115093453376	1.73839403326204	0.14703938237033	0.46414537829596	0.870027038175784
