dataset	group	mode	removal_fraction	n_boot	mean_largest_component_prop	median_largest_component_prop	q25	q75	q025	q975	dataset_label	group_label	mode_label
depth_natural	Interior_relict	targeted	0.7000000000000001	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.75	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.8	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.8500000000000001	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
depth_natural	Interior_relict	targeted	0.9	500	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	0.01428571428571428	Interior vs coastal natural	Interior relict	Targeted removal
interior_impaired	Coastal_impaired	random	0	500	0.32875	0.34375	0.265625	0.390625	0.171875	0.46875	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.05	500	0.3006875	0.3125	0.234375	0.359375	0.14804687500000002	0.4375	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.1	500	0.27378125	0.28125	0.21875	0.328125	0.140625	0.40625	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.15000000000000002	500	0.24621875	0.25	0.1875	0.296875	0.125	0.3832031249999997	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.2	500	0.22359375	0.21875	0.171875	0.28125	0.109375	0.359375	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.25	500	0.1920625	0.1875	0.140625	0.234375	0.09375	0.328125	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.30000000000000004	500	0.17225	0.15625	0.125	0.21875	0.078125	0.30507812499999964	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.35000000000000003	500	0.153125	0.140625	0.109375	0.1875	0.0625	0.28125	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.4	500	0.13446875	0.125	0.09375	0.171875	0.0625	0.25820312499999964	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.45	500	0.11640625	0.109375	0.078125	0.140625	0.046875	0.21875	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.5	500	0.09709375	0.09375	0.0625	0.125	0.03125	0.1875	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.55	500	0.0850625	0.078125	0.0625	0.109375	0.03125	0.171875	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.6000000000000001	500	0.072625	0.0625	0.046875	0.09375	0.03125	0.15625	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.65	500	0.06303125	0.0625	0.046875	0.078125	0.03125	0.125	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.7000000000000001	500	0.05284375	0.046875	0.03125	0.0625	0.015625	0.109375	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.75	500	0.042	0.03125	0.03125	0.046875	0.015625	0.09375	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.8	500	0.03515625	0.03125	0.015625	0.046875	0.015625	0.078125	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.8500000000000001	500	0.02796875	0.03125	0.015625	0.03125	0.015625	0.0625	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	random	0.9	500	0.02228125	0.015625	0.015625	0.03125	0.015625	0.046875	Interior vs coastal impaired	Coastal impaired	Random removal
interior_impaired	Coastal_impaired	targeted	0	500	0.32875	0.34375	0.265625	0.390625	0.171875	0.46875	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.05	500	0.16725	0.15625	0.125	0.203125	0.078125	0.296875	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.1	500	0.09146875	0.078125	0.0625	0.109375	0.046875	0.171875	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.15000000000000002	500	0.05921875	0.0625	0.046875	0.0625	0.03125	0.109375	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.2	500	0.04234375	0.046875	0.03125	0.046875	0.015625	0.078125	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.25	500	0.0301875	0.03125	0.015625	0.03125	0.015625	0.046875	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.30000000000000004	500	0.023875	0.015625	0.015625	0.03125	0.015625	0.046875	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.35000000000000003	500	0.01975	0.015625	0.015625	0.03125	0.015625	0.03125	Interior vs coastal impaired	Coastal impaired	Targeted removal
interior_impaired	Coastal_impaired	targeted	0.4	500	0.0175625	0.015625	0.015625	0.015625	0.015625	0.03125	Interior vs coastal impaired	Coastal impaired	Targeted removal
