dataset	dataset_label	group	group_label	bootstrap_id	metric	value	metric_label
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	15	natural_connectivity	1.2014430359127195	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	15	robustness_auc_random	0.0642857142857143	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	15	robustness_auc_targeted	0.03	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	15	transitivity	0.5760000000000001	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	16	largest_component_prop	0.5428571428571428	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	16	natural_connectivity	0.8007780072025947	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	16	robustness_auc_random	0.15035714285714286	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	16	robustness_auc_targeted	0.04678571428571428	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	16	transitivity	0.14018691588785046	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	16	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	16	natural_connectivity	0.8448477671003358	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	16	robustness_auc_random	0.14142857142857143	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	16	robustness_auc_targeted	0.05642857142857143	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	16	transitivity	0.28421052631578947	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	17	largest_component_prop	0.5142857142857142	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	17	natural_connectivity	0.909793690469928	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	17	robustness_auc_random	0.19464285714285717	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	17	robustness_auc_targeted	0.04107142857142857	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	17	transitivity	0.16279069767441862	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	17	largest_component_prop	0.45714285714285713	Largest component
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	17	natural_connectivity	0.8832172173380646	Natural connectivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	17	robustness_auc_random	0.1675	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	17	robustness_auc_targeted	0.0525	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	17	transitivity	0.36	Transitivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	18	largest_component_prop	0.5	Largest component
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	18	natural_connectivity	0.8926902543746875	Natural connectivity
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	18	robustness_auc_random	0.11785714285714284	Robustness AUC
random removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	18	robustness_auc_targeted	0.05500000000000001	Robustness AUC
targeted removal
depth_natural	Interior vs coastal natural	Interior_relict	Interior relict	18	transitivity	0.1875	Transitivity
depth_natural	Interior vs coastal natural	Coastal_natural	Coastal natural	18	largest_component_prop	0.17142857142857143	Largest component
